Site name,lat,long,min_elev,max_elev,bin
MashpiCapuchin,0.16378000,-78.87350000,900m,1200m,
MashpiLaguna,0.16378000,-78.87350000,900m,1200m,
UnPocoDelChoco,0.05233000,-78.84095000,900m,1200m,
Maquipucuna,0.12505700,-78.63148900,1530m,1750m,
SantaLuciaUpper,0.11719000,-78.61024000,2300m,2500m,1500-2200
SantaLuciaLower,0.11719000,-78.61024000,1700m,2000m,2200-2900
Sachatamia,-0.02538000,-78.76083000,1655m,1791m,
Cambugan upper,0.19050000,-78.48211000,2800m,3000m,
Cambugan ,0.18659600,-78.47153800,1700m,3100m,
LasGralarias,-0.01071000,-78.73087000,1873m,2072m,
Verdecocha,-0.11817000,-78.59747000,3200m,3300m,
Yanacocha,-0.12108000,-78.59028000,3400m,3500m,
Alaspungo_disturbed,-0.01508333,-78.60723333,2964m,3078m,
Rumisitana,0.06726667,-78.67378333,1417m,1491m,
Sachatamia_disturbed,-0.02788333,-78.76165000,1668m,1734m,
Yanacocha_disturbed,-0.10346667,-78.58790000,3246m,3745m,
Puyucunapi,0.02330000,-78.69576667,1849m,2000m,
UnPocoDelChoco_disturbed,0.05329200,-78.84170930,1186m,1205m,
Amagusa,0.14385000,-78.80333333,,,